cell,x_cm,g1,g2
252,  1.85086696E+01,  1.26464527E+00,  1.54158211E-01
253,  1.85804412E+01,  1.25367820E+00,  1.53056959E-01
254,  1.86522127E+01,  1.26150853E+00,  1.57251974E-01
255,  1.87239843E+01,  1.24970548E+00,  1.59471086E-01
256,  1.87995735E+01,  1.23616191E+00,  1.64095481E-01
257,  1.88789804E+01,  1.23568598E+00,  1.65846042E-01
258,  1.89583873E+01,  1.22683599E+00,  1.64920610E-01
259,  1.90377941E+01,  1.23145676E+00,  1.65653803E-01
260,  1.91133833E+01,  1.23736443E+00,  1.60336674E-01
261,  1.91851549E+01,  1.24845245E+00,  1.54677432E-01
262,  1.92569265E+01,  1.23112396E+00,  1.52270071E-01
263,  1.93286981E+01,  1.22993104E+00,  1.50968718E-01
264,  1.94004697E+01,  1.23242530E+00,  1.52497686E-01
265,  1.94722412E+01,  1.23632916E+00,  1.50534488E-01
266,  1.95440128E+01,  1.23546255E+00,  1.50694715E-01
267,  1.96157844E+01,  1.23143507E+00,  1.52327729E-01
268,  1.96875560E+01,  1.23376112E+00,  1.53267714E-01
269,  1.97593276E+01,  1.24738417E+00,  1.54769596E-01
270,  1.98310992E+01,  1.23632833E+00,  1.54570567E-01
271,  1.99028707E+01,  1.22636522E+00,  1.59124159E-01
272,  1.99746423E+01,  1.22238425E+00,  1.68762380E-01
273,  2.00502315E+01,  1.21821228E+00,  1.71292352E-01
274,  2.01296384E+01,  1.22071122E+00,  1.71376943E-01
275,  2.02090453E+01,  1.22794891E+00,  1.68481120E-01
276,  2.02884521E+01,  1.22514568E+00,  1.63623951E-01
277,  2.03640413E+01,  1.22635680E+00,  1.61299995E-01
278,  2.04358129E+01,  1.22168476E+00,  1.55354347E-01
279,  2.05075845E+01,  1.22329110E+00,  1.55006986E-01
280,  2.05793561E+01,  1.22814823E+00,  1.55505009E-01
281,  2.06511277E+01,  1.22702634E+00,  1.52537193E-01
282,  2.07228993E+01,  1.22779547E+00,  1.53691832E-01
283,  2.07946708E+01,  1.23105105E+00,  1.53207387E-01
284,  2.08664424E+01,  1.22816550E+00,  1.50840737E-01
285,  2.09382140E+01,  1.23008511E+00,  1.54178882E-01
286,  2.10099856E+01,  1.23870145E+00,  1.54478573E-01
287,  2.10817572E+01,  1.23840898E+00,  1.55411219E-01
288,  2.11535288E+01,  1.23004061E+00,  1.56775155E-01
289,  2.12253003E+01,  1.21985506E+00,  1.62779449E-01
290,  2.13008896E+01,  1.21134512E+00,  1.67589502E-01
291,  2.13802964E+01,  1.20677488E+00,  1.75649699E-01
292,  2.14597033E+01,  1.20222775E+00,  1.69316360E-01
293,  2.15391101E+01,  1.21269457E+00,  1.64972798E-01
294,  2.16146993E+01,  1.21507391E+00,  1.61676751E-01
295,  2.16864709E+01,  1.21717760E+00,  1.54619399E-01
296,  2.17582425E+01,  1.22614554E+00,  1.52195918E-01
297,  2.18300141E+01,  1.21342386E+00,  1.54718938E-01
298,  2.19017857E+01,  1.22748541E+00,  1.53505253E-01
299,  2.19735573E+01,  1.22160648E+00,  1.51488613E-01
300,  2.20453288E+01,  1.22428860E+00,  1.50010961E-01
301,  2.21171004E+01,  1.21874642E+00,  1.46566403E-01
302,  2.21888720E+01,  1.21546869E+00,  1.47413677E-01
303,  2.22606436E+01,  1.22019428E+00,  1.52802559E-01
304,  2.23324152E+01,  1.21230767E+00,  1.55293665E-01
305,  2.24041868E+01,  1.21656664E+00,  1.55976451E-01
306,  2.24759583E+01,  1.21241873E+00,  1.59214218E-01
307,  2.25515476E+01,  1.20988524E+00,  1.63633991E-01
308,  2.26309544E+01,  1.21409767E+00,  1.69073850E-01
309,  2.27103613E+01,  1.21666059E+00,  1.72963121E-01
310,  2.27897681E+01,  1.22133097E+00,  1.68977188E-01
311,  2.28653573E+01,  1.22073705E+00,  1.63726765E-01
312,  2.29371289E+01,  1.22792887E+00,  1.59889479E-01
313,  2.30089005E+01,  1.22256567E+00,  1.57698897E-01
314,  2.30806721E+01,  1.22085408E+00,  1.54772769E-01
315,  2.31524437E+01,  1.22342776E+00,  1.54525238E-01
316,  2.32242153E+01,  1.22921229E+00,  1.53223056E-01
317,  2.32959868E+01,  1.23168772E+00,  1.54469644E-01
318,  2.33677584E+01,  1.22866283E+00,  1.53987592E-01
319,  2.34395300E+01,  1.23002764E+00,  1.53001451E-01
320,  2.35113016E+01,  1.22499128E+00,  1.60486910E-01
321,  2.35830732E+01,  1.22744238E+00,  1.62648640E-01
322,  2.36548448E+01,  1.23476844E+00,  1.63281641E-01
323,  2.37266163E+01,  1.22220225E+00,  1.68107603E-01
324,  2.38022056E+01,  1.22155276E+00,  1.71443753E-01
325,  2.38816124E+01,  1.21634969E+00,  1.73297967E-01
326,  2.39610193E+01,  1.21840527E+00,  1.77142044E-01
327,  2.40404261E+01,  1.23380036E+00,  1.74498241E-01
328,  2.41160154E+01,  1.24134095E+00,  1.63597507E-01
329,  2.41877869E+01,  1.23796313E+00,  1.59228492E-01
330,  2.42595585E+01,  1.24453574E+00,  1.55802785E-01
331,  2.43313301E+01,  1.24008856E+00,  1.55335214E-01
332,  2.44031017E+01,  1.23554258E+00,  1.53524372E-01
333,  2.44748733E+01,  1.22782716E+00,  1.50238341E-01
334,  2.45466449E+01,  1.23698884E+00,  1.48632343E-01
335,  2.46184164E+01,  1.23080756E+00,  1.53051186E-01
336,  2.46901880E+01,  1.23695614E+00,  1.52491837E-01
337,  2.47619596E+01,  1.24472415E+00,  1.52575327E-01
338,  2.48337312E+01,  1.23202551E+00,  1.51833810E-01
339,  2.49055028E+01,  1.22990520E+00,  1.53423694E-01
340,  2.49772744E+01,  1.21925078E+00,  1.56242332E-01
341,  2.50528636E+01,  1.21241081E+00,  1.63085295E-01
342,  2.51322704E+01,  1.21376597E+00,  1.69283931E-01
343,  2.52116773E+01,  1.21093726E+00,  1.66805522E-01
344,  2.52910841E+01,  1.21314849E+00,  1.60953713E-01
345,  2.53666734E+01,  1.22890788E+00,  1.55012177E-01
346,  2.54384449E+01,  1.23119383E+00,  1.51985176E-01
347,  2.55102165E+01,  1.23352444E+00,  1.50691943E-01
348,  2.55819881E+01,  1.23328312E+00,  1.52289126E-01
349,  2.56537597E+01,  1.22726573E+00,  1.47822209E-01
350,  2.57255313E+01,  1.23312836E+00,  1.47829532E-01
351,  2.57973029E+01,  1.22239148E+00,  1.46249021E-01
352,  2.58690744E+01,  1.22862353E+00,  1.46833125E-01
353,  2.59408460E+01,  1.22462038E+00,  1.46284375E-01
354,  2.60126176E+01,  1.23103716E+00,  1.49199638E-01
355,  2.60843892E+01,  1.23191865E+00,  1.52662527E-01
356,  2.61561608E+01,  1.23572485E+00,  1.54573435E-01
357,  2.62279324E+01,  1.22724946E+00,  1.57168442E-01
358,  2.63035216E+01,  1.23268085E+00,  1.61599448E-01
359,  2.63829284E+01,  1.22760093E+00,  1.63838476E-01
360,  2.64623353E+01,  1.23338956E+00,  1.65477115E-01
361,  2.65417422E+01,  1.23107159E+00,  1.62006080E-01
362,  2.66173314E+01,  1.23821969E+00,  1.55137696E-01
363,  2.66891030E+01,  1.22735559E+00,  1.52954526E-01
364,  2.67608745E+01,  1.23381495E+00,  1.51394970E-01
365,  2.68326461E+01,  1.23668655E+00,  1.50560815E-01
366,  2.69044177E+01,  1.23277822E+00,  1.49337531E-01
367,  2.69761893E+01,  1.23706831E+00,  1.48947230E-01
368,  2.70479609E+01,  1.23422876E+00,  1.49026089E-01
369,  2.71197325E+01,  1.22304955E+00,  1.48915864E-01
370,  2.71915040E+01,  1.22112521E+00,  1.49553898E-01
371,  2.72632756E+01,  1.22312005E+00,  1.47694496E-01
372,  2.73350472E+01,  1.21800404E+00,  1.48625303E-01
373,  2.74068188E+01,  1.22584287E+00,  1.48643632E-01
374,  2.74785904E+01,  1.21187588E+00,  1.52770248E-01
375,  2.75541796E+01,  1.21615603E+00,  1.58399607E-01
376,  2.76335864E+01,  1.21281841E+00,  1.58955004E-01
377,  2.77129933E+01,  1.21174413E+00,  1.56926141E-01
378,  2.77924002E+01,  1.21340799E+00,  1.57077631E-01
379,  2.78679894E+01,  1.22637615E+00,  1.49874835E-01
380,  2.79397610E+01,  1.22692875E+00,  1.46757759E-01
381,  2.80115325E+01,  1.22169874E+00,  1.49522216E-01
382,  2.80833041E+01,  1.21835147E+00,  1.47928237E-01
383,  2.81550757E+01,  1.22993339E+00,  1.45999130E-01
384,  2.82268473E+01,  1.22450225E+00,  1.46040637E-01
385,  2.82986189E+01,  1.22386434E+00,  1.44847114E-01
386,  2.83703905E+01,  1.21652671E+00,  1.46761349E-01
387,  2.84421620E+01,  1.22615045E+00,  1.49459559E-01
388,  2.85139336E+01,  1.22598787E+00,  1.48968174E-01
389,  2.85857052E+01,  1.20697257E+00,  1.51667341E-01
390,  2.86574768E+01,  1.21398854E+00,  1.52995058E-01
391,  2.87292484E+01,  1.21497558E+00,  1.57026840E-01
392,  2.88048376E+01,  1.21424625E+00,  1.62249147E-01
393,  2.88842445E+01,  1.21466492E+00,  1.63505826E-01
394,  2.89636513E+01,  1.21504664E+00,  1.63152043E-01
395,  2.90430582E+01,  1.20811776E+00,  1.62239842E-01
396,  2.91186474E+01,  1.20755566E+00,  1.59029334E-01
397,  2.91904190E+01,  1.21643007E+00,  1.57047073E-01
398,  2.92621906E+01,  1.22134528E+00,  1.55693584E-01
399,  2.93339621E+01,  1.21994739E+00,  1.51015655E-01
400,  2.94057337E+01,  1.22403285E+00,  1.51825343E-01
401,  2.94775053E+01,  1.22420443E+00,  1.50545454E-01
402,  2.95492769E+01,  1.23173938E+00,  1.50758749E-01
403,  2.96210485E+01,  1.23556015E+00,  1.48988169E-01
404,  2.96928201E+01,  1.22294730E+00,  1.49825897E-01
405,  2.97645916E+01,  1.22322523E+00,  1.53686893E-01
406,  2.98363632E+01,  1.21612009E+00,  1.51274818E-01
407,  2.99081348E+01,  1.21279727E+00,  1.54081325E-01
408,  2.99799064E+01,  1.21700823E+00,  1.59137305E-01
409,  3.00554956E+01,  1.20433110E+00,  1.63435511E-01
410,  3.01349025E+01,  1.19988715E+00,  1.66122899E-01
411,  3.02143093E+01,  1.19964048E+00,  1.68997004E-01
412,  3.02937162E+01,  1.20377834E+00,  1.67016440E-01
413,  3.03693054E+01,  1.20092876E+00,  1.58450381E-01
414,  3.04410770E+01,  1.20366108E+00,  1.53376846E-01
415,  3.05128486E+01,  1.19562989E+00,  1.49591462E-01
416,  3.05846201E+01,  1.20272246E+00,  1.46982506E-01
417,  3.06563917E+01,  1.20739295E+00,  1.47674130E-01
418,  3.07281633E+01,  1.20855264E+00,  1.45493181E-01
419,  3.07999349E+01,  1.21257833E+00,  1.44838335E-01
420,  3.08717065E+01,  1.20660423E+00,  1.43297760E-01
421,  3.09434781E+01,  1.21214227E+00,  1.43441603E-01
422,  3.10152496E+01,  1.21342724E+00,  1.44864137E-01
423,  3.10870212E+01,  1.21113859E+00,  1.45928147E-01
424,  3.11587928E+01,  1.20449067E+00,  1.46169085E-01
425,  3.12305644E+01,  1.20248914E+00,  1.50947292E-01
426,  3.13061536E+01,  1.20958166E+00,  1.59523247E-01
427,  3.13855605E+01,  1.20303217E+00,  1.63073339E-01
428,  3.14649673E+01,  1.21177180E+00,  1.64254587E-01
429,  3.15443742E+01,  1.20937099E+00,  1.58149146E-01
430,  3.16199634E+01,  1.21898374E+00,  1.51330598E-01
431,  3.16917350E+01,  1.21640362E+00,  1.47471964E-01
432,  3.17635066E+01,  1.21175925E+00,  1.41663959E-01
433,  3.18352782E+01,  1.22575352E+00,  1.42814525E-01
434,  3.19070497E+01,  1.21449963E+00,  1.40120174E-01
435,  3.19788213E+01,  1.20238729E+00,  1.43312496E-01
