cell,x_cm,dx,sigtr_g1,sigtr_g2,sigcap_g1,sigcap_g2,sigf_g1,sigf_g2,sigs12,nu_g1,nu_g2
176,19.82347811,.08869565,.20000000,1.00000000,.00000000,.02000000,.00000000,.18000001,.01500000,.00000000,1.39999998
177,19.94543463,.15521739,.20000000,1.10000002,.00000000,.00000000,.00000000,.00000000,.03000000,.00000000,.00000000
178,20.10065202,.15521739,.20000000,1.10000002,.00000000,.00000000,.00000000,.00000000,.03000000,.00000000,.00000000
179,20.25586941,.15521739,.20000000,1.10000002,.00000000,.00000000,.00000000,.00000000,.03000000,.00000000,.00000000
180,20.41108680,.15521739,.20000000,1.10000002,.00000000,.00000000,.00000000,.00000000,.03000000,.00000000,.00000000
181,20.53304332,.08869565,.20000000,1.00000000,.00000000,.02000000,.00000000,.18000001,.01500000,.00000000,1.39999998
182,20.62173897,.08869565,.20000000,1.00000000,.00000000,.02000000,.00000000,.18000001,.01500000,.00000000,1.39999998
183,20.71043463,.08869565,.20000000,1.00000000,.00000000,.02000000,.00000000,.18000001,.01500000,.00000000,1.39999998
184,20.79913028,.08869565,.20000000,1.00000000,.00000000,.02000000,.00000000,.18000001,.01500000,.00000000,1.39999998
185,20.88782593,.08869565,.20000000,1.00000000,.00000000,.02000000,.00000000,.18000001,.01500000,.00000000,1.39999998
186,20.97652158,.08869565,.20000000,1.00000000,.00000000,.02000000,.00000000,.18000001,.01500000,.00000000,1.39999998
187,21.06521723,.08869565,.20000000,1.00000000,.00000000,.02000000,.00000000,.18000001,.01500000,.00000000,1.39999998
188,21.18717375,.15521739,.20000000,1.10000002,.00000000,.00000000,.00000000,.00000000,.03000000,.00000000,.00000000
189,21.34239114,.15521739,.20000000,1.10000002,.00000000,.00000000,.00000000,.00000000,.03000000,.00000000,.00000000
190,21.49760853,.15521739,.20000000,1.10000002,.00000000,.00000000,.00000000,.00000000,.03000000,.00000000,.00000000
191,21.65282592,.15521739,.20000000,1.10000002,.00000000,.00000000,.00000000,.00000000,.03000000,.00000000,.00000000
192,21.77478244,.08869565,.20000000,1.00000000,.00000000,.02000000,.00000000,.18000001,.01500000,.00000000,1.39999998
193,21.86347810,.08869565,.20000000,1.00000000,.00000000,.02000000,.00000000,.18000001,.01500000,.00000000,1.39999998
194,21.95217375,.08869565,.20000000,1.00000000,.00000000,.02000000,.00000000,.18000001,.01500000,.00000000,1.39999998
195,22.04086940,.08869565,.20000000,1.00000000,.00000000,.02000000,.00000000,.18000001,.01500000,.00000000,1.39999998
196,22.12956505,.08869565,.20000000,1.00000000,.00000000,.02000000,.00000000,.18000001,.01500000,.00000000,1.39999998
