cell,x_cm,g1,g2,g3,g4,g5,g6,g7
216,22.460009100045152,0.17228940222850994,0.49781182760877718,0.20227202671755370,0.59733975436429346E-1,0.42459969390429016E-1,0.33209641276098593E-1,0.22755630572276385E-1
217,22.564782036647376,0.17212701145194037,0.49697671040419084,0.20267588094315558,0.60192683705281795E-1,0.42561894008527938E-1,0.33652987940190705E-1,0.24162977477228606E-1
218,22.670657845228522,0.17207767208593197,0.49667003068057425,0.20282718610878242,0.60351422925806829E-1,0.42610487475268390E-1,0.33879606117016237E-1,0.24939619174826184E-1
219,22.776533653809668,0.17213403134397423,0.49699348413235250,0.20268180691827592,0.60194166235245185E-1,0.42563657066665650E-1,0.33654646733069220E-1,0.24164304619913087E-1
220,22.881306590411892,0.17230377801447064,0.49784356382262285,0.20228326363792498,0.59736876254576146E-1,0.42462993971139222E-1,0.33212377888229269E-1,0.22757716842908213E-1
221,22.984976655035194,0.17244203527582427,0.49842482015822642,0.20200930727110603,0.59395354740050213E-1,0.42416399296120733E-1,0.33050578358754037E-1,0.22382826790479454E-1
222,23.088646719658495,0.17254190286537119,0.49884215563429851,0.20181473678149356,0.59152143887020975E-1,0.42383278312374643E-1,0.32935277810590094E-1,0.22116491521537138E-1
223,23.192316784281797,0.17260391702135811,0.49909620756656253,0.20169945365360653,0.59006810531625584E-1,0.42363632677820041E-1,0.32866319514180752E-1,0.21957334322166098E-1
224,23.295986848905098,0.17262839867254115,0.49918735576589490,0.20166339934896624,0.58959095784499926E-1,0.42357463443306910E-1,0.32843609698018750E-1,0.21904532510076860E-1
225,23.399656913528400,0.17261545484823312,0.49911572412517030,0.20170655527180428,0.59008914562496767E-1,0.42364771068749543E-1,0.32867117483497001E-1,0.21957813101835366E-1
226,23.503326978151701,0.17256497914602892,0.49888118114503260,0.20182894275811566,0.59156355434755441E-1,0.42385555428476239E-1,0.32936874863666116E-1,0.22117451375085331E-1
227,23.606997042775003,0.17247665125952258,0.49848333940125611,0.20203062308804043,0.59401680782843240E-1,0.42419815805805880E-1,0.33052976726020290E-1,0.22384272318147790E-1
228,23.710667107398304,0.17234993556368122,0.49792155395101362,0.20231169752159070,0.59745327275260371E-1,0.42467550876840128E-1,0.33215580919191565E-1,0.22759654974675570E-1
229,23.815440044000528,0.17219123483986426,0.49709362469939261,0.20271827866942055,0.60204838069403334E-1,0.42570127370292948E-1,0.33659565949304249E-1,0.24167697203090695E-1
230,23.921315852581674,0.17214545858495789,0.49679512334326670,0.20287252289412006,0.60364338699986315E-1,0.42619610885535411E-1,0.33887072234830617E-1,0.24945186036239443E-1
231,24.027191661162821,0.17220542259192531,0.49712687537709321,0.20272997972647666,0.60207767045987202E-1,0.42573649339508815E-1,0.33662907763064090E-1,0.24170379521545177E-1
232,24.131964597765045,0.17237899015396621,0.49798446448605282,0.20233388493028476,0.59751058335402604E-1,0.42473593196038530E-1,0.33221094623486207E-1,0.22763872084806687E-1
233,24.235634662388346,0.17252123730226876,0.49857225309384107,0.20206211968219323,0.59410120031853503E-1,0.42427364089584502E-1,0.33059522260183244E-1,0.22389039722253340E-1
234,24.339304727011648,0.17262509192791206,0.49899606010589204,0.20186976062374637,0.59167516704023607E-1,0.42394612185118037E-1,0.32944461511530639E-1,0.22122792345753765E-1
