cell,x_cm,g1,g2,g3,g4,g5,g6,g7
43,4.4655555188655844,0.31012527364185952E+20,0.85323950425917719E+20,0.31870900845430845E+20,0.82434566791982705E+19,0.34341965312906491E+19,0.95197831705874496E+18,0.42810929082120902E+18
44,4.5699999630451194,0.30991007921759789E+20,0.85317045901246874E+20,0.31841036469444112E+20,0.82220835163815393E+19,0.34218963481448530E+19,0.94050473991159526E+18,0.42256780116623827E+18
45,4.6744444072246543,0.30962338315992814E+20,0.85280172690071519E+20,0.31829032866193449E+20,0.82216685915734897E+19,0.34210407664611661E+19,0.94714123981516518E+18,0.42589963321504595E+18
46,4.7788888514041892,0.30926474933477609E+20,0.85213296726518923E+20,0.31834883367054914E+20,0.82422113598964992E+19,0.34316265078380774E+19,0.97202183869188570E+18,0.43817505071923066E+18
47,4.8833332955837241,0.30883253187732361E+20,0.85116232202243260E+20,0.31858593247822139E+20,0.82837677950927442E+19,0.34536885495780209E+19,0.10156455602419493E+19,0.45965275981391398E+18
48,4.9877777397632590,0.30832384452961968E+20,0.84988637744913105E+20,0.31900179732329234E+20,0.83464505425373911E+19,0.34873002249294188E+19,0.10788864802255130E+19,0.49078537104277171E+18
49,5.0933332939942666,0.30776743025562792E+20,0.84809975017898541E+20,0.31965755629545894E+20,0.84297787151003566E+19,0.35429527696023014E+19,0.11794572989125330E+19,0.57022504964503942E+18
50,5.1999999582767487,0.30743582012270535E+20,0.84718269974221767E+20,0.31972824509835084E+20,0.84512050865697884E+19,0.35599556482308465E+19,0.12169852159825682E+19,0.60876309188660429E+18
51,5.3066666225592289,0.30729588399861383E+20,0.84733441432121737E+20,0.31915578159088202E+20,0.84115604625924690E+19,0.35279477520577085E+19,0.11752651738090947E+19,0.56705335925635379E+18
52,5.4122221767902374,0.30735078305056612E+20,0.84843228500768735E+20,0.31804041883290468E+20,0.83099174585727498E+19,0.34596435575832468E+19,0.10713514583759981E+19,0.48564433579888243E+18
53,5.5166666209697723,0.30732889362417783E+20,0.84909823513786073E+20,0.31720701982739132E+20,0.82286815997194168E+19,0.34156446199953408E+19,0.10051697364036115E+19,0.45337486072469139E+18
54,5.6211110651493073,0.30723133730599338E+20,0.84946107167022285E+20,0.31655157029943751E+20,0.81684279906578012E+19,0.33830648320249661E+19,0.95840390007175360E+18,0.43062711430668179E+18
55,5.7255555093288422,0.30706120434300039E+20,0.84952488502878831E+20,0.31607364976049213E+20,0.81289948361681490E+19,0.33617951059665147E+19,0.93011910034121293E+18,0.41692193847977120E+18
56,5.8299999535083771,0.30682036276694094E+20,0.84929223274853597E+20,0.31577295647804690E+20,0.81102764889815224E+19,0.33517641441550136E+19,0.91975030570619533E+18,0.41197068970654086E+18
57,5.9344443976879120,0.30650949317267857E+20,0.84876418285054018E+20,0.31564930726901907E+20,0.81122231619863347E+19,0.33529382160935711E+19,0.92709092938443955E+18,0.41566914806920454E+18
58,6.0388888418674469,0.30612810144034202E+20,0.84794032972041519E+20,0.31570263737443664E+20,0.81348407928048404E+19,0.33653210506080195E+19,0.95228867277506022E+18,0.42809531902860550E+18
59,6.1433332860469818,0.30567450965660611E+20,0.84681878280923283E+20,0.31593300041529713E+20,0.81781910603694049E+19,0.33889538428193101E+19,0.99584850143712051E+18,0.44951108140687949E+18
60,6.2477777302265167,0.30514582504953618E+20,0.84539612792484970E+20,0.31634056842960388E+20,0.82423915535442330E+19,0.34239153758400589E+19,0.10586428135473678E+19,0.48036771646550048E+18
61,6.3533332844575252,0.30457184884381921E+20,0.84344901722326794E+20,0.31698546005483590E+20,0.83269559299375114E+19,0.34809614903988628E+19,0.11582110245824136E+19,0.55885691311169382E+18
62,6.4599999487400055,0.30422172361190220E+20,0.84235002961670980E+20,0.31704329857850393E+20,0.83497995097071135E+19,0.34998981123000499E+19,0.11958013595293888E+19,0.59731614857235456E+18
63,6.5666666130224876,0.30406126852744798E+20,0.84231604397304988E+20,0.31645742306105037E+20,0.83117826715498609E+19,0.34701177880243492E+19,0.11553285619976481E+19,0.55683745458211968E+18
64,6.6722221672534952,0.30409221465515139E+20,0.84324327700588823E+20,0.31532965733195903E+20,0.82120149205719706E+19,0.34039517638992799E+19,0.10534789369914239E+19,0.47710949131820845E+18
65,6.7766666114330301,0.30404613989808800E+20,0.84376169591528686E+20,0.31448343082323620E+20,0.81324141500871967E+19,0.33615028522529536E+19,0.98867739887514202E+18,0.44553737112711014E+18
66,6.8811110556125650,0.30392548987334877E+20,0.84398086327318970E+20,0.31381357431889048E+20,0.80735453637256428E+19,0.33302890528321618E+19,0.94297280679118054E+18,0.42332203707365933E+18
67,6.9855554997920999,0.30373328240945611E+20,0.84390478611098649E+20,0.31331966196765626E+20,0.80352506272160973E+19,0.33102059890846024E+19,0.91545136303180006E+18,0.40999555864407046E+18
68,7.0899999439716348,0.30347133266134946E+20,0.84353596313193316E+20,0.31300138559762440E+20,0.80174274873761833E+19,0.33011864680305905E+19,0.90556312788276275E+18,0.40527727502328883E+18
