cell,x_cm,g1,g2,g3,g4,g5,g6,g7
82,8.4954308899138429,0.19510590170726584E+20,0.55864908578549899E+20,0.22588763967961670E+20,0.66264390223534172E+19,0.47635642138142505E+19,0.37129942720670771E+19,0.24969208132055588E+19
83,8.5991009545371444,0.19493873365941531E+20,0.55816398223179809E+20,0.22609344788718043E+20,0.66528490972848845E+19,0.47663244905640837E+19,0.37249912024068024E+19,0.25262954174191124E+19
84,8.7027710191604459,0.19472854341697249E+20,0.55749375996248424E+20,0.22638809737562509E+20,0.66902717187619881E+19,0.47705998565028147E+19,0.37422303038845353E+19,0.25679239723739704E+19
85,8.8075439557626716,0.19448544885817926E+20,0.55651808849147986E+20,0.22682064564633776E+20,0.67406290587612436E+19,0.47803029469729976E+19,0.37899627189573842E+19,0.27246940065514189E+19
86,8.9134197643438178,0.19437277844149719E+20,0.55612647584785752E+20,0.22696746862376432E+20,0.67574210223157012E+19,0.47835448794264658E+19,0.38125056352039772E+19,0.28094769992466273E+19
87,9.0192955729249675,0.19437950140679844E+20,0.55643775980113773E+20,0.22678138477999649E+20,0.67388905945552681E+19,0.47762821278540800E+19,0.37845683047494569E+19,0.27197671575864161E+19
88,9.1240685095271914,0.19451157741852795E+20,0.55734187801917841E+20,0.22631357974957527E+20,0.66868571241639414E+19,0.47636875083230710E+19,0.37333023027555005E+19,0.25601455860853402E+19
89,9.2277385741504929,0.19460588018163339E+20,0.55794964990946730E+20,0.22598763010318901E+20,0.66478142909710868E+19,0.47576842552835215E+19,0.37143842404317988E+19,0.25174945209702702E+19
90,9.3314086387737945,0.19465730235666469E+20,0.55837274964590494E+20,0.22575047930588377E+20,0.66197753688318208E+19,0.47531930021079142E+19,0.37006929527606349E+19,0.24870539925467791E+19
91,9.4350787033970960,0.19466644748905079E+20,0.55861194225703248E+20,0.22560200940851970E+20,0.66026904827815148E+19,0.47502136718473339E+19,0.36922097729131310E+19,0.24686668075744983E+19
92,9.5387487680203975,0.19463367717152272E+20,0.55866770316294808E+20,0.22554214720571949E+20,0.65965292621720259E+19,0.47487461208807148E+19,0.36889231089332997E+19,0.24622380808110725E+19
93,9.6424188326436990,0.19455911267399836E+20,0.55854022001935917E+20,0.22557086419278877E+20,0.66012807857592556E+19,0.47487901407067965E+19,0.36908284349783700E+19,0.24677347355233946E+19
94,9.7460888972670006,0.19444263551411331E+20,0.55822939336866898E+20,0.22568817654878740E+20,0.66169535619674450E+19,0.47503454585294449E+19,0.36979282874865597E+19,0.24851853295155210E+19
95,9.8497589618903021,0.19428388697121624E+20,0.55773483610132914E+20,0.22589414514573898E+20,0.66435755442945249E+19,0.47534117366377769E+19,0.37102322662849618E+19,0.25146802057520794E+19
96,9.9534290265136036,0.19408226654141317E+20,0.55705587172466991E+20,0.22618887558398157E+20,0.66811941818863800E+19,0.47579885705798820E+19,0.37277570406230031E+19,0.25563719683753984E+19
97,10.058201963115827,0.19384751469126492E+20,0.55607103983377162E+20,0.22662142584015409E+20,0.67317389068329738E+19,0.47681894663060685E+19,0.37760509326990408E+19,0.27131605231154509E+19
98,10.164077771696977,0.19374241894538195E+20,0.55566933942668616E+20,0.22676844397691109E+20,0.67487274440524186E+19,0.47720588027172055E+19,0.37994786821452283E+19,0.27985424660161516E+19
99,10.269953580278123,0.19375632938347684E+20,0.55597069879786922E+20,0.22658277509873652E+20,0.67303977051379098E+19,0.47653590342363218E+19,0.37724560658938742E+19,0.27099629290288543E+19
100,10.374726516880349,0.19389553140913861E+20,0.55686609358177198E+20,0.22611556507487154E+20,0.66785634713486797E+19,0.47531238208433961E+19,0.37218096042803773E+19,0.25513273042619203E+19
101,10.478396581503651,0.19399737536574513E+20,0.55746681295266406E+20,0.22579006537398206E+20,0.66396984139131054E+19,0.47473313502254090E+19,0.37031670359421942E+19,0.25089732325718876E+19
102,10.582066646126952,0.19405642775285354E+20,0.55788345088658907E+20,0.22555328710867792E+20,0.66118234687382886E+19,0.47430472748764662E+19,0.36897350332229714E+19,0.24787879524931302E+19
103,10.685736710750254,0.19407328804955021E+20,0.55811676046360363E+20,0.22540511265210446E+20,0.65948890569894554E+19,0.47402715894399488E+19,0.36814953018180280E+19,0.24606155446877609E+19
104,10.789406775373555,0.19404831452979085E+20,0.55816720608845545E+20,0.22534546907249742E+20,0.65888650799555369E+19,0.47390042214140180E+19,0.36784366010595118E+19,0.24543621881012628E+19
105,10.893076839996857,0.19398162587294310E+20,0.55803496531164496E+20,0.22537432809047908E+20,0.65937408646299945E+19,0.47392450329526272E+19,0.36805547356105631E+19,0.24599956660080906E+19
106,10.996746904620158,0.19387310171839406E+20,0.55771992946141184E+20,0.22549170606246498E+20,0.66095251444256799E+19,0.47409938214613852E+19,0.36878525520750592E+19,0.24775451964978232E+19
107,11.100416969243460,0.19372238216696164E+20,0.55722170308976697E+20,0.22569766399016755E+20,0.66362460749884938E+19,0.47442503189895229E+19,0.37003399405356626E+19,0.25071015865042196E+19
108,11.204087033866761,0.19352886622662828E+20,0.55653960222975435E+20,0.22599230755620418E+20,0.66739512851387587E+19,0.47490141904169124E+19,0.37180338410061041E+19,0.25488177101933256E+19
109,11.308859970468987,0.19330194161644659E+20,0.55555179594971210E+20,0.22642467398760133E+20,0.67245732090119823E+19,0.47595233201431552E+19,0.37666566891845852E+19,0.27055694205026371E+19
110,11.414735779050133,0.19320398504880865E+20,0.55514667424712679E+20,0.22657187733479350E+20,0.67416597853315082E+19,0.47637845872767693E+19,0.37906184406643507E+19,0.27912813191773732E+19
111,11.520611587631283,0.19322470393239736E+20,0.55544451187705938E+20,0.22638679310893502E+20,0.67234469534658212E+19,0.47574405955593585E+19,0.37641629336974925E+19,0.27033998443081667E+19
112,11.625384524233507,0.19337069393443226E+20,0.55633666408503394E+20,0.22592047784006144E+20,0.66717445175130245E+19,0.47454358174600694E+19,0.37139100430791066E+19,0.25453971807375785E+19
113,11.729054588856808,0.19347967685493854E+20,0.55693499929699181E+20,0.22559569650106143E+20,0.66329949449094513E+19,0.47397782104721111E+19,0.36954416624469417E+19,0.25032325075355858E+19
114,11.832724653480110,0.19354591054008644E+20,0.55734970539749450E+20,0.22535956175231832E+20,0.66052242342630881E+19,0.47356264067596462E+19,0.36821727254828529E+19,0.24732085541228861E+19
115,11.936394718103411,0.19356999241591583E+20,0.55758152675995255E+20,0.22521195630182334E+20,0.65883829930301379E+19,0.47329804467315384E+19,0.36740851718195067E+19,0.24551702065648148E+19
116,12.040064782726713,0.19355227920781705E+20,0.55763091972927496E+20,0.22515280750822584E+20,0.65824412890205542E+19,0.47318403033781750E+19,0.36711679800805386E+19,0.24490243079870735E+19
117,12.143734847350014,0.19349288853913166E+20,0.55749805442825134E+20,0.22518208733844873E+20,0.65873885962804101E+19,0.47322058840788306E+19,0.36734171598579461E+19,0.24547391680753930E+19
118,12.247404911973316,0.19339169947612410E+20,0.55718281537747558E+20,0.22529981235138101E+20,0.66032337760730010E+19,0.47340770312049490E+19,0.36808357485963725E+19,0.24723443962897874E+19
119,12.351074976596617,0.19324835202202194E+20,0.55668480093190259E+20,0.22550604370763375E+20,0.66300050929241303E+19,0.47374535215207741E+19,0.36934338133972900E+19,0.25019310579101097E+19
120,12.454745041219919,0.19306224555761328E+20,0.55600332153116287E+20,0.22580088720536879E+20,0.66677502657607045E+19,0.47423350643801027E+19,0.37112284577290301E+19,0.25436521537396137E+19
121,12.559517977822143,0.19284244730258960E+20,0.55501668427659616E+20,0.22623339627140661E+20,0.67184029330035917E+19,0.47530375802993920E+19,0.37600442359579853E+19,0.27003449447050291E+19
